"securities","companies__t","companies__exch","companies__c","companies__securities__001","companies__securities__002","companies__sc","companies__rv","companies__mc","companies__en","companies__cc","companies__ec","companies__cpr","companies__dt","companies__fy","updateTime"
"","NFG","UN","National Fuel Gas Co","riy","","19","1693.332","4032229866.57","2107","8084177","82858","98","2019-01-18","2018",""
"","NCLH","UN","Norwegian Cruise Line Holdings Ltd","riy","spx","11","6055.126","12420784601.400002","33200","22593061","20101","1124","2019-04-12","2018",""
"","NYCB","UN","New York Community Bancorp Inc","riy","","14","1781.231","5533431435.5199995","2913","4571690","53654","85","2019-04-25","2018",""
"","OFC","UN","Corporate Office Properties Trust","riy","","14","578.112","3259794128.25","375","3533047","104044","34","2019-03-27","2018",""
"","OKTA","UW","Okta Inc","riy","","18","399.254","14425734595.800001","1561","null","null","null","2018-05-09","2018",""
"","NLSN","UN","Nielsen Holdings PLC","riy","spx","18","6515","7155344348.71","46000","10785368","29055","371","2019-04-09","2018",""
"","OC","UN","Owens Corning","riy","","17","7057","7099469965.900001","20000","8737460","60587","144","2019-03-14","2018",""
"","NKTR","UW","Nektar Therapeutics","riy","spx","15","1193.323","3928342859.9799995","618","13330667","162978","82","2019-04-30","2018",""
"","NUE","UN","Nucor Corp","riy","spx","17","25067.279","17180177028.219997","26300","15559469","106097","147","2019-03-22","2018",""
"","NUS","UN","Nu Skin Enterprises Inc","riy","","12","2679.008","2236886307.78","4800","6065610","3382","1793","2019-04-17","2018",""
"","OKE","UN","ONEOK Inc","riy","spx","13","12593.196","31229199539.999996","2684","7099869","130481","54","2019-04-04","2018",""
"","NXPI","UW","NXP Semiconductors NV","riy","","18","9407","36114898090","30000","null","null","null","2019-03-01","2018",""
"","PFE","UN","Pfizer Inc","riy","spx","15","53647","217435667681.55997","92400","19549213","80011","244","2019-03-14","2018",""
"","PCAR","UW","PACCAR Inc","riy","spx","16","23495.7","27493493894.82","28000","13007482","71830","181","2019-03-19","2018",""
"","PE","UN","Parsley Energy Inc","riy","","13","1906.081","5896193782.64","527","5037347","144221","35","2019-04-08","2018",""
"","PANW","UN","Palo Alto Networks Inc","riy","","18","2899.6","22705553858.65","7014","14356271","223885","64","2018-10-22","2018",""
"","PAG","UN","Penske Automotive Group Inc","riy","","11","22785.1","4108425741.5600004","27000","6824351","40720","168","2019-03-19","2018",""
"","PPC","UW","Pilgrim's Pride Corp","riy","","12","10937.784","8118525795.130001","52100","7405096","36150","204.8","2019-04-05","2018",""
"","PBF","UN","PBF Energy Inc","riy","","13","27186.093","3815964618.3999996","3266","15761504","160703","98.08","2019-04-08","2018",""
"","PRAH","UW","PRA Health Sciences Inc","riy","","15","2871.922","7006649332.719999","16400","7870225","63345","124","2019-04-18","2018",""
"","PG","UN","Procter & Gamble Co/The","riy","spx","12","67684","312275144650.56","97000","17354256","60412","287","2018-08-24","2018",""
"","PACW","UW","PacWest Bancorp","riy","","14","1310.305","4577191639.679999","1833","6238560","86325","72","2019-03-28","2018",""
"","PKG","UN","Packaging Corp of America","riy","spx","17","7014.6","10627244566.130001","15000","10265570","76730","134","2019-03-22","2018",""
"","OMF","UN","OneMain Holdings Inc","riy","","14","4232","5886368509.500001","10200","8484619","38766","219","2019-04-08","2018",""
"","PKI","UN","PerkinElmer Inc","riy","spx","15","2777.996","10826774031.949999","12500","13961376","52594","265","2019-03-13","2018",""
"","PNFP","UW","Pinnacle Financial Partners Inc","riy","","14","1147.587","4920095045.880001","2297","4376775","67869","64","2019-03-07","2018",""
