id,rank,name,employees,previousrank,revenues,revenuechange,profits,profitschange,assets,marketvalue
56,55,AIG,56400,49,"$52,367 ",-10.20%,($849.00),-138.70%,"$498,264 ","$61,154 "
57,56,Lockheed Martin,97000,60,"$50,658 ",9.80%,"$5,302.00 ",47.10%,"$47,806 ","$77,557 "
58,57,Sysco,51900,57,"$50,367 ",3.50%,$949.60 ,38.30%,"$16,722 ","$28,048 "
59,58,FedEx,335767,58,"$50,365 ",6.10%,"$1,820.00 ",73.30%,"$46,064 ","$52,178 "
60,59,Hewlett Packard Enterprise,195000,,"$50,123 ",-,"$3,161.00 ",-,"$79,679 ","$39,288 "
61,60,Cisco Systems,73700,54,"$49,247 ",0.20%,"$10,739.00 ",19.60%,"$121,652 ","$169,266 "
62,61,HP,49000,20,"$48,238 ",-53.30%,"$2,496.00 ",-45.20%,"$29,010 ","$30,231 "
63,62,Dow Chemical,56000,56,"$48,158 ",-1.30%,"$4,318.00 ",-43.80%,"$79,511 ","$77,460 "
64,63,HCA Holdings,210500,63,"$44,747 ",2.70%,"$2,890.00 ",35.70%,"$33,758 ","$32,966 "
65,64,Coca-Cola,100300,62,"$41,863 ",-5.50%,"$6,527.00 ",-11.20%,"$87,270 ","$182,153 "
66,65,New York Life Insurance,11320,61,"$40,787 ",-11.10%,"$1,088.10 ",324.10%,"$287,196 ",-
67,66,Centene,30500,124,"$40,721 ",78.60%,$562.00 ,58.30%,"$20,197 ","$12,271 "
68,67,American Airlines Group,122300,67,"$40,180 ",-2.00%,"$2,676.00 ",-64.80%,"$51,274 ","$21,326 "
69,68,Nationwide,34320,69,"$40,074 ",-0.40%,$334.30 ,-42.40%,"$197,790 ",-
70,69,Merck,68000,72,"$39,807 ",0.80%,"$3,920.00 ",-11.80%,"$95,377 ","$174,454 "
71,70,Cigna,41000,79,"$39,668 ",4.70%,"$1,867.00 ",-10.80%,"$59,360 ","$37,604 "
72,71,Delta Air Lines,83756,68,"$39,639 ",-2.60%,"$4,373.00 ",-3.40%,"$51,261 ","$33,586 "
73,72,Best Buy,125000,71,"$39,403 ",-0.90%,"$1,228.00 ",36.90%,"$13,856 ","$15,193 "
74,73,Honeywell International,131000,75,"$39,302 ",1.90%,"$4,809.00 ",0.90%,"$54,146 ","$94,991 "
75,74,Caterpillar,95400,59,"$38,537 ",-18.00%,($67.00),-103.20%,"$74,704 ","$54,402 "
76,75,Liberty Mutual Insurance Group,50000,73,"$38,308 ",-2.90%,"$1,006.00 ",95.70%,"$125,592 ",-
77,76,Morgan Stanley,55311,78,"$37,949 ",0.10%,"$5,979.00 ",-2.40%,"$814,949 ","$79,947 "
78,77,Massachusetts Mutual Life Insurance,11737,76,"$37,788 ",-1.20%,"$1,273.50 ",-10.60%,"$271,040 ",-
79,78,Goldman Sachs Group,34400,74,"$37,712 ",-3.80%,"$7,398.00 ",21.60%,"$860,165 ","$91,380 "
80,79,Energy Transfer Equity,30992,65,"$37,504 ",-11.00%,$995.00 ,-16.30%,"$79,011 ","$21,292 "
81,80,TIAA,12997,82,"$37,105 ",5.50%,"$1,492.30 ",22.90%,"$523,194 ",-
82,81,Oracle,136000,77,"$37,047 ",-3.10%,"$8,901.00 ",-10.40%,"$112,180 ","$183,556 "
83,82,Tyson Foods,114000,66,"$36,881 ",-10.90%,"$1,768.00 ",44.90%,"$22,373 ","$22,028 "
84,83,United Continental Holdings,88000,80,"$36,556 ",-3.50%,"$2,263.00 ",-69.20%,"$40,140 ","$22,225 "
85,84,Allstate,43275,81,"$36,534 ",2.50%,"$1,877.00 ",-13.50%,"$108,610 ","$29,754 "
86,85,Publix Super Markets,191000,87,"$34,274 ",5.10%,"$2,025.70 ",3.10%,"$17,464 ",-
87,86,American Express,56400,85,"$33,823 ",-1.80%,"$5,408.00 ",4.70%,"$158,893 ","$71,193 "
88,87,TJX,235000,89,"$33,184 ",7.20%,"$2,298.20 ",0.90%,"$12,884 ","$51,053 "
89,88,Nike,70700,91,"$32,376 ",5.80%,"$3,760.00 ",14.90%,"$21,396 ","$92,204 "
90,89,Exelon,34396,95,"$31,360 ",6.50%,"$1,134.00 ",-50.00%,"$114,904 ","$33,309 "
