rank,name,revenues,profits
156,Molina Healthcare,"$17,782 ",52
157,PG&E Corp.,"$17,666 ",1393
158,Supervalu,"$17,529 ",178
159,Cummins,"$17,509 ",1394
160,CenturyLink,"$17,470 ",626
161,AECOM,"$17,411 ",96.1
162,Xerox,"$17,126 ",-477
163,Marriott International,"$17,072 ",780
164,Paccar,"$17,033 ",521.7
165,General Mills,"$16,563 ",1697.4
166,PNC Financial Services Group,"$16,423 ",3903
167,American Electric Power,"$16,380 ",610.9
168,Icahn Enterprises,"$16,348 ",-1128
169,Nucor,"$16,208 ",796.3
170,NextEra Energy,"$16,155 ",2912
171,Performance Food Group,"$16,105 ",68.3
172,PBF Energy,"$15,920 ",170.8
173,Halliburton,"$15,887 ",-5763
174,CarMax,"$15,833 ",623.4
175,Freeport-McMoRan,"$15,789 ",-4154
176,Whole Foods Market,"$15,724 ",507
177,Bank of New York Mellon Corp.,"$15,683 ",3547
178,Gap,"$15,516 ",676
179,Omnicom Group,"$15,417 ",1148.6
180,Genuine Parts,"$15,340 ",687.2
181,DaVita HealthCare Partners,"$15,197 ",879.9
182,Colgate-Palmolive,"$15,195 ",2441
183,PPG Industries,"$15,178 ",877
184,Goodyear Tire & Rubber,"$15,158 ",1264
185,Synchrony Financial,"$15,122 ",2251
186,DISH Network,"$15,095 ",1449.9
187,Visa,"$15,082 ",5991
188,Nordstrom,"$14,757 ",354
189,INTL FCStone,"$14,755 ",54.7
190,WestRock,"$14,706 ",-396.3
191,XPO Logistics,"$14,619 ",69
192,Aramark,"$14,416 ",287.8
193,CBS,"$14,386 ",1261
194,AES,"$14,287 ",-1130
195,WellCare Health Plans,"$14,237 ",242.1
196,FirstEnergy,"$14,156 ",-6177
197,ConAgra Foods,"$14,134 ",-677
198,Synnex,"$14,062 ",234.9
199,CDW,"$13,982 ",424.4
200,Textron,"$13,788 ",962
201,Waste Management,"$13,609 ",1182
202,Illinois Tool Works,"$13,599 ",2035
203,Office Depot,"$13,585 ",529
204,Monsanto,"$13,502 ",1336
205,Cognizant Technology Solutions,"$13,487 ",1553
206,Texas Instruments,"$13,370 ",3595
207,Lincoln National,"$13,330 ",1192
208,Newell Brands,"$13,264 ",527.8
209,Land O,"$13,233 ",244.9
210,Marsh & McLennan,"$13,211 ",1768
211,Ecolab,"$13,153 ",1229.6
212,C.H. Robinson Worldwide,"$13,144 ",513.4
213,Loews,"$13,105 ",654
214,CBRE Group,"$13,072 ",572
215,Kinder Morgan,"$13,058 ",708
216,Kellogg,"$13,014 ",694
217,Western Digital,"$12,994 ",242
218,Guardian Life Ins. Co. of America,"$12,919 ",263.9
219,Ross Stores,"$12,867 ",1117.7
220,L Brands,"$12,574 ",1158.1
221,J.C. Penney,"$12,547 ",1
222,Farmers Insurance Exchange,"$12,513 ",-147.9
223,Reynolds American,"$12,503 ",6073
